1668424089.70,20,3.42,4.45,-nan,-nan
1668424089.70,20,5.17,4.86,7.15,-3.13
1668424089.70,20,-2.87,2.51,-nan,-nan
1668424089.70,20,-1.24,2.83,-nan,-nan
1668424089.70,20,1.44,2.83,-2.83,-1.72
1668424089.70,20,3.24,3.18,-nan,-nan
1668424089.70,20,4.46,3.17,0.40,2.80
1668424089.70,20,5.56,3.97,7.15,-3.13
1668424089.70,20,5.53,0.98,7.15,-3.12
1668424089.70,20,2.56,0.74,-nan,-nan
1668424089.70,20,-0.38,0.18,-2.80,-2.10
1668424089.70,20,-2.41,0.76,-2.83,-1.69
1668424089.70,20,-2.15,-2.05,-2.71,-3.49
1668424089.70,20,-0.07,-0.98,4.06,-3.92
1668424089.70,20,2.09,-1.35,2.54,-4.70
1668424089.70,20,3.97,-1.76,7.19,-4.17
1668424089.70,20,5.60,-2.08,7.19,-4.17
1668424089.70,20,-1.89,-3.09,-2.66,-4.39
1668424089.70,20,-0.28,-3.04,4.06,-3.92
1668424089.70,20,2.06,-3.17,4.06,-3.92
1668424089.70,20,4.88,-2.81,7.19,-4.17
1668424089.70,20,6.60,-2.23,7.19,-4.17
1668424089.70,20,-2.42,-4.70,-nan,-nan
1668424089.70,20,-0.69,-4.50,1.41,-5.97
1668424089.70,20,1.67,-4.41,1.41,-5.97
1668424089.70,20,3.96,-5.02,3.85,-5.89
1668424089.70,20,5.74,-4.87,7.19,-4.16
1668424089.70,20,6.69,-3.95,7.19,-4.17
1668424089.70,20,-2.15,-6.27,-nan,-nan
1668424089.70,20,0.11,-6.07,1.41,-5.97
1668424089.70,20,2.15,-6.06,1.41,-5.97
1668424089.70,20,3.81,-5.48,4.06,-5.82
1668424089.70,20,6.94,-6.22,7.19,-4.17
1668424089.70,20,-1.95,-8.01,-nan,-nan
1668424089.70,20,-0.37,-7.74,1.41,-5.97
1668424089.70,20,1.26,-7.95,1.41,-5.99
1668424089.70,20,3.46,-7.91,3.85,-5.89
1668424089.70,20,5.29,-7.77,7.19,-4.17
1668424089.70,20,6.62,-7.85,7.19,-4.17
1668424089.70,20,-2.14,-9.32,2.70,-10.12
1668424089.70,20,-0.48,-9.33,2.81,-10.13
1668424089.70,20,1.33,-8.87,3.56,-6.00
1668424089.70,20,3.71,-9.70,7.25,-5.15
1668424089.70,20,-0.60,-10.01,2.81,-10.13
1668424089.70,20,5.18,-9.42,7.19,-4.17
1668424089.70,20,7.35,-9.10,-nan,-nan
1668424089.70,20,7.35,-9.10,-nan,-nan
1668424089.70,30,-2.76,4.21,-2.83,-1.69
1668424089.70,30,-0.75,3.96,-2.83,-1.69
1668424089.70,30,1.10,4.31,-3.00,4.27
1668424089.70,30,3.42,4.45,-3.00,4.27
1668424089.70,30,5.17,4.86,-nan,-nan
1668424089.70,30,-2.87,2.51,-2.83,-1.65
1668424089.70,30,-1.24,2.83,-nan,-nan
1668424089.70,30,1.44,2.83,-2.83,-1.69
1668424089.70,30,3.24,3.18,-2.85,-1.44
1668424089.70,30,4.46,3.17,-3.29,4.40
1668424089.70,30,5.56,3.97,7.15,-3.14
1668424089.70,30,5.53,0.98,7.15,-3.19
1668424089.70,30,2.56,0.74,4.06,-3.92
1668424089.70,30,-0.38,0.18,4.06,-3.92
1668424089.70,30,-2.41,0.76,-2.82,-1.86
1668424089.70,30,-2.15,-2.05,-2.65,-4.33
1668424089.70,30,-0.07,-0.98,4.06,-3.92
1668424089.70,30,2.09,-1.35,4.06,-3.92
1668424089.70,30,3.97,-1.76,7.19,-4.17
1668424089.70,30,5.60,-2.08,7.18,-3.85
1668424089.70,30,-1.89,-3.09,-2.59,-5.09
1668424089.70,30,-0.28,-3.04,3.08,-4.00
1668424089.70,30,2.06,-3.17,4.06,-3.92
1668424089.70,30,4.88,-2.81,7.19,-4.17
1668424089.70,30,6.60,-2.23,7.18,-4.05
1668424089.70,30,-2.42,-4.70,-nan,-nan
1668424089.70,30,-0.69,-4.50,1.54,-5.95
1668424089.70,30,1.67,-4.41,2.53,-4.70
1668424089.70,30,3.96,-5.02,3.34,-4.66
1668424089.70,30,5.74,-4.87,7.19,-4.17
1668424089.70,30,6.69,-3.95,7.19,-4.16
1668424089.70,30,-2.15,-6.27,-nan,-nan
1668424089.70,30,0.11,-6.07,1.40,-5.99
1668424089.70,30,2.15,-6.06,1.63,-5.94
1668424089.70,30,3.81,-5.48,7.19,-4.17
1668424089.70,30,6.94,-6.22,7.19,-4.17
1668424089.70,30,-1.95,-8.01,-nan,-nan
1668424089.70,30,-0.37,-7.74,1.41,-5.97
1668424089.70,30,1.26,-7.95,1.54,-5.95
1668424089.70,30,3.46,-7.91,7.19,-4.17
1668424089.70,30,5.29,-7.77,7.19,-4.17
1668424089.70,30,6.62,-7.85,7.19,-4.17
1668424089.70,30,-2.14,-9.32,2.81,-10.13
1668424089.70,30,-0.48,-9.33,3.39,-10.10
1668424089.70,30,1.33,-8.87,1.55,-5.95
1668424089.70,30,3.71,-9.70,-nan,-nan
1668424089.70,30,-0.60,-10.01,3.43,-10.10
1668424089.70,30,5.18,-9.42,7.19,-4.17
1668424089.70,30,7.35,-9.10,7.19,-4.17
1668424089.70,30,7.35,-9.10,7.19,-4.17
1668424089.70,40,-2.76,4.21,-2.83,-1.69
1668424089.70,40,-0.75,3.96,7.15,-3.13
1668424089.70,40,1.10,4.31,7.01,2.83
1668424089.70,40,3.42,4.45,-nan,-nan
1668424089.70,40,5.17,4.86,-nan,-nan
1668424089.70,40,-2.87,2.51,-2.83,-1.69
1668424089.70,40,-1.24,2.83,-2.81,-1.92
1668424089.70,40,1.44,2.83,4.23,-3.90
